Title,Image,Stars,Discounted_Price,Original_Price,Discount,,,
Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (Grey),https://m.media-amazon.com/images/I/51Sk5hmB7nL._AC_UL320_.jpg,4.2 out of 5 stars,₹179,₹399,(55% off),,,
"Infinity (JBL) Glide 120, In Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, 12mm Drivers, Premium Metal Earbuds, Comfortable Flex Neckband, Bluetooth 5.0, IPX5 Sweatproof (Black & Yellow)",https://m.media-amazon.com/images/I/51ELL-YUv7L._AC_UL320_.jpg,3.9 out of 5 stars,₹899,"₹2,999",(70% off),,,
"pTron Bassbuds Fute 5.1 Bluetooth Truly Wireless Featherlite TWS in Ear Earbuds with Mic 25Hrs Playtime, 13Mm Dynamic Driver, Immersive Audio, Touch Control, Voice Assistance & Fast Charging (White)",https://m.media-amazon.com/images/I/513Fiu309lL._AC_UL320_.jpg,3.4 out of 5 stars,₹659,"₹3,299",(80% off),,,
"boAt Micro USB 55 Tangle-free, Sturdy Type C Cable with 3A Fast Charging & 480mbps Data Transmission(Black)",https://m.media-amazon.com/images/I/71ctu8Z759L._AC_UL320_.jpg,4.1 out of 5 stars,₹149,₹499,(70% off),,,
Dell KB216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant – Black,https://m.media-amazon.com/images/I/811YM2Go9GL._AC_UL320_.jpg,4.3 out of 5 stars,₹499,"₹1,799",(72% off),,,
"Lapster USB all types smartwatch charger cable for Boat Xtend,boat storm, W26 W26+ W26m W55+, Noise ColorFit Pulse, Colorfit Ultra/Ultra 2, All 2 Pin Watch (Cable Only",https://m.media-amazon.com/images/I/51c3oYvNwIL._AC_UL320_.jpg,3.8 out of 5 stars,₹178,₹999,(82% off),,,
SONIA MUSICALS Baby 29 Keys Bass Harmonium Musical Instruments,https://m.media-amazon.com/images/I/61XEVadgUKL._AC_UL320_.jpg,,"₹18,550","₹20,499",(10% off),,,
SONIA MUSICALS 7 Stopper Harmonium With 39 key,https://m.media-amazon.com/images/I/71iLuIwAVGL._AC_UL320_.jpg,,"₹7,500","₹15,500",(52% off),,,
"TRI-COM ® Pure Copper Category RJ45 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit, Heavy Duty LD Coated PVC Outer for Router Jacket for Outdoor (90 Meter)",https://m.media-amazon.com/images/I/81GW7PWZmES._AC_UL320_.jpg,3.9 out of 5 stars,"₹3,673","₹12,999",(72% off),,,
SONIA MUSICALS Musical Double Bellow 39 Keys Bass Reed Linden Wood Harmonium,https://m.media-amazon.com/images/I/61sqdQBekHL._AC_UL320_.jpg,,"₹10,500","₹15,099",(30% off),,,
"Fire-Boltt Dynamite Bluetooth Calling Smartwatch with Industry's Largest 1.81"" Display, 120+ Sports Mode, IP68 Rating, Fast Charging, 100+ Watch Faces",https://m.media-amazon.com/images/I/61uWss2GbSL._AC_UL320_.jpg,4.2 out of 5 stars,"₹2,499","₹9,990",(75% off),,,
"pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Snug-Fit, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Black)",https://m.media-amazon.com/images/I/51K8TkvtjgL._AC_UL320_.jpg,3.9 out of 5 stars,₹699,"₹2,499",(72% off),,,
"STRIFF PS2_01 Multi Angle Mobile/Tablet Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Cell Phone Stand.Perfect for Bed,Office, Home,Gift and Desktop (Black)",https://m.media-amazon.com/images/I/51de3t4CDhL._AC_UL320_.jpg,4.3 out of 5 stars,₹119,₹499,(76% off),,,
"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Blue)",https://m.media-amazon.com/images/I/51yB+3-eJwL._AC_UL320_.jpg,3.6 out of 5 stars,₹199,₹899,(78% off),,,
"Fire-Boltt Ring 3 Bluetooth Calling Smartwatch 1.8"" Biggest Display, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring",https://m.media-amazon.com/images/I/61OM3oqbXRL._AC_UL320_.jpg,4.3 out of 5 stars,"₹2,999","₹9,999",(70% off),,,
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),https://m.media-amazon.com/images/I/61b91WUDxmL._AC_UL320_.jpg,4.2 out of 5 stars,₹199,₹799,(75% off),,,
"Boult Audio Airbass Z20 TWS, 40H Battery Life, Zen™ ENC Mic, Type-C Lightning Boult™ Fast Charging (10Mins=100Mins), BoomX™ Tech Bass, Environmental Noise Cancellation, IPX5 in Ear Earbuds (Black)",https://m.media-amazon.com/images/I/71zqydP677L._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,499","₹5,499",(73% off),,,
"Tygot Adjustable Aluminium Alloy Tripod Stand Holder for Mobile Phones & Camera, 360 mm -1050 mm, 1/4 inch Screw + Mobile Holder Bracket",https://m.media-amazon.com/images/I/61qktNTXo-L._AC_UL320_.jpg,3.3 out of 5 stars,₹364,"₹1,999",(82% off),,,
"Fire-Boltt Ring 3 Bluetooth Calling Smartwatch 1.8"" Biggest Display, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring",https://m.media-amazon.com/images/I/6171JTirOYL._AC_UL320_.jpg,4.3 out of 5 stars,"₹2,999","₹9,999",(70% off),,,
"Kratos Thump Wired Earphones, Powerful Bass, HD Sound Quality Earphones, Tangle Free Cable, Comfortable in Ear Fit, with 3.5 mm Jack",https://m.media-amazon.com/images/I/51zCSa17kZL._AC_UL320_.jpg,3.5 out of 5 stars,₹99,₹599,(83% off),,,
"pTron Solero M241 2.4A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Micro USB Devices - (Black)",https://m.media-amazon.com/images/I/51JVvqm1mAL._AC_UL320_.jpg,3.9 out of 5 stars,₹139,₹800,(83% off),,,
VEKTA Charger Qualcom Fast USB Charger 18w,https://m.media-amazon.com/images/I/21q27cVHjAL._AC_UL320_.jpg,,₹299,"₹1,500",(80% off),,,
"U&M DC Superheros Premium Textured Quality Printed Mouse Pad for Home, Offices & Gaming",https://m.media-amazon.com/images/I/61Qm5AESueL._AC_UL320_.jpg,,₹99,₹399,(75% off),,,
"Fire-Boltt Rage Full Touch 1.28” Display & 60 Sports Modes with IP68 Rating Smartwatch, Sp02 Tracking, Over 100 Cloud Based Watch Faces, Black, Free Size",https://m.media-amazon.com/images/I/61onxRqQXlL._AC_UL320_.jpg,4.1 out of 5 stars,"₹1,899","₹8,999",(79% off),,,
LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set of 2 (8 Pieces),https://m.media-amazon.com/images/I/61PyJM0coqL._AC_UL320_.jpg,4.1 out of 5 stars,₹125,₹999,(87% off),,,
Sounce Shutter Remote Control with Bluetooth Wireless Technology - Create Amazing Photos and Videos Hands-Free - Works with Most Smartphones and Tablets (iOS and Android) (Black),https://m.media-amazon.com/images/I/41ArVgmpKSS._AC_UL320_.jpg,4.5 out of 5 stars,₹171,₹999,(83% off),,,
"TRI-COM ® Pure Copper Category RJ45 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit, Heavy Duty LD Coated PVC Outer for Router Jacket for Outdoor (90 Meter)",https://m.media-amazon.com/images/I/81GW7PWZmES._AC_UL320_.jpg,3.9 out of 5 stars,"₹3,673","₹12,999",(72% off),,,
"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",https://m.media-amazon.com/images/I/51opLBd1kgL._AC_UL320_.jpg,3.6 out of 5 stars,₹199,₹899,(78% off),,,
"Fire-Boltt Ring Pro Bluetooth Calling, 1.75” 320*385px High Res, IP68 & SpO2 Monitoring, Pin Code Locking Functionality & Split Screen Access, Built in Mic & Speaker for HD Calls, Black, Free Size",https://m.media-amazon.com/images/I/613MOmND8BL._AC_UL320_.jpg,4.0 out of 5 stars,"₹2,799","₹9,999",(72% off),,,
Oakter Mini UPS for 12V WiFi Router Broadband Modem | Backup Upto 4 Hours | WiFi Router UPS Power Backup During Power Cuts | UPS for 12V Router Broadband Modem | Current Surge & Deep Discharge Protection,https://m.media-amazon.com/images/I/61Mbl0e228L._AC_UL320_.jpg,4.0 out of 5 stars,₹999,"₹3,490",(71% off),,,
"Boult Audio ZCharge Bluetooth Wireless in Ear Earphones with Mic, 40H Playtime and Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling and IPX5 Water Resistant (Black)",https://m.media-amazon.com/images/I/71hpmh-u08L._AC_UL320_.jpg,3.8 out of 5 stars,"₹1,299","₹4,999",(74% off),,,
"Boult Audio Airbass Z20 TWS, 40H Battery Life, Zen™ ENC Mic, Type-C Lightning Boult™ Fast Charging (10Mins=100Mins), BoomX™ Tech Bass, Environmental Noise Cancellation, IPX5 in Ear Earbuds (Green)",https://m.media-amazon.com/images/I/61yEaTpcHTL._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,499","₹5,499",(73% off),,,
"boAt Wave Lite Smartwatch with 1.69"" HD Display, Heart Rate & SpO2 Level Monitor, Multiple Watch Faces, Activity Tracker, Multiple Sports Modes & IP68 (Deep Blue)",https://m.media-amazon.com/images/I/61apsPEds-L._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,799","₹6,990",(74% off),,,
"Boult Audio AirBass PowerBuds with Inbuilt Powerbank, 120H Total Playtime, IPX7 Fully Waterproof, Lightning Boult Type-C Fast Charging, Low Latency Gaming, TWS Earbuds with Pro+ Calling Mic (Black)",https://m.media-amazon.com/images/I/71jrExswt4L._AC_UL320_.jpg,3.7 out of 5 stars,"₹1,799","₹8,999",(80% off),,,
HP 64GB Class 10 MicroSD Memory Card (HP-MSDCWAU1-64GB),https://m.media-amazon.com/images/I/51HIHyx3BQL._AC_UL320_.jpg,4.1 out of 5 stars,₹599,"₹2,900",(79% off),,,
"pTron Bassbuds Eon Truly Wireless in Ear Earbuds with Mic,ENC, 13mm Driver, Immersive Sound, BT 5.3, Quick Pairing, Touch Control, Fast Charging & Upto 30Hrs Playtime, IPX4 & Voice Asst (Grey/Black)",https://m.media-amazon.com/images/I/61ae1vRurNL._AC_UL320_.jpg,3.7 out of 5 stars,₹759,"₹3,199",(76% off),,,
SONIA MUSICALS Musical Harmonium H23-7M 7 Stopper,https://m.media-amazon.com/images/I/515f74N1W-L._AC_UL320_.jpg,,"₹8,500","₹11,099",(23% off),,,
SONIA MUSICALS Baby 29 Keys Bass Harmonium Musical Instruments,https://m.media-amazon.com/images/I/61XEVadgUKL._AC_UL320_.jpg,,"₹18,550","₹20,499",(10% off),,,
SONIA MUSICALS 7 Stopper Harmonium With 39 key,https://m.media-amazon.com/images/I/71iLuIwAVGL._AC_UL320_.jpg,,"₹7,500","₹15,500",(52% off),,,
"STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector, Mouse Cable Protector, Suit for All Cell Phones, Computers and Chargers (White)",https://m.media-amazon.com/images/I/51h0B6szsqL._AC_UL320_.jpg,4.2 out of 5 stars,₹93,₹499,(81% off),,,
SONIA MUSICALS Musical Double Bellow 39 Keys Bass Reed Linden Wood Harmonium,https://m.media-amazon.com/images/I/61sqdQBekHL._AC_UL320_.jpg,,"₹10,500","₹15,099",(30% off),,,
"Fire-Boltt Phoenix Bluetooth Calling Smartwatch 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",https://m.media-amazon.com/images/I/61xXm6kS-hL._AC_UL320_.jpg,4.3 out of 5 stars,"₹1,999","₹9,999",(80% off),,,
Amozo Ultra Hybrid Camera and Drop Protection Back Cover Case for iPhone 13 (TPU + Polycarbonate | Crystal Transparent),https://m.media-amazon.com/images/I/6118YQPQZlL._AC_UL320_.jpg,4.2 out of 5 stars,₹379,"₹1,499",(75% off),,,
Onsitego 1 year Extended Warranty for Small Appliances up to Rs 5000 (Email Delivery - No Physical Kit),https://m.media-amazon.com/images/I/71SfLz61+qL._AC_UL320_.jpg,3.9 out of 5 stars,₹161,₹849,(81% off),,,
"SYVO WT 3130 Aluminum Tripod (133CM), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All Smart Phones, Gopro, Cameras - Brown",https://m.media-amazon.com/images/I/61H1dMNTSnL._AC_UL320_.jpg,4.3 out of 5 stars,₹799,"₹3,990",(80% off),,,
"pTron Tangentbeat in-Ear Bluetooth 5.0 Wireless Headphones with Mic, Enhanced Bass, 10mm Drivers, Clear Calls, Fast Charging, Magnetic Buds, Voice Assistant & IPX4 Wireless Neckband (Dark Blue)",https://m.media-amazon.com/images/I/51P6DqgGnaS._AC_UL320_.jpg,3.9 out of 5 stars,₹699,"₹2,499",(72% off),,,
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for Phone 6/6S/7/7+/8/8+/10/11, Pad Air/Mini, Pod and OS Devices",https://m.media-amazon.com/images/I/31IvNJZnmdL._AC_UL320_.jpg,3.9 out of 5 stars,₹199,₹999,(80% off),,,
"Case Plus Type C to 3.5 mm Jack Audio Connector, Noise Cancelling Headphones Jack Converter Audio Adapter for OnePlus Nord /8T/8/7T/7/7 Pro / 1+6/1+6T",https://m.media-amazon.com/images/I/41scqCa79bL._AC_UL320_.jpg,3.3 out of 5 stars,₹195,"₹1,999",(90% off),,,
